filename,prov,str_num1,str_num2,str_num3,str_num4,str_num5,str_num6,rdx,rdy,ldx,ldy,lux,luy,rux,ruy
233.0,0,0,8,27,7,29,24,380,650,202,643,204,581,382,588
234.0,0,12,33,7,33,33,27,516,410,155,409,154,290,515,291
235.0,0,0,9,25,25,31,10,451,577,240,581,241,508,452,504
236.0,0,0,3,32,20,27,32,420,697,187,693,187,615,420,619
237.0,0,0,10,12,32,32,30,494,615,272,614,271,543,493,544
238.0,0,0,33,23,30,24,25,398,395,177,405,173,330,394,320
239.0,0,0,10,26,11,33,26,496,552,229,566,240,456,507,442
240.0,0,0,27,31,8,31,30,441,622,151,595,127,508,417,535
241.0,0,0,21,29,8,25,27,466,644,231,578,220,490,455,556
242.0,0,0,32,33,29,8,32,538,590,181,614,198,492,555,468
243.0,0,12,33,12,33,29,24,569,497,290,501,293,411,572,407
244.0,0,0,14,4,33,24,30,398,578,223,565,218,504,393,517
245.0,0,0,7,27,32,27,24,463,591,199,622,199,521,463,490
246.0,0,0,3,20,24,26,31,455,436,277,438,279,376,457,374
247.0,0,0,29,29,23,31,26,431,573,187,548,174,464,418,489
248.0,0,0,23,11,31,26,30,473,617,262,620,266,548,477,545
249.0,0,0,32,12,27,28,26,517,554,156,586,156,461,517,429
250.0,0,0,28,24,23,29,24,595,583,190,546,119,444,524,481
251.0,0,0,26,12,30,25,27,455,707,137,705,137,610,455,612
252.0,0,0,21,31,31,26,4,521,595,175,589,172,499,518,505
253.0,0,0,3,26,26,32,2,495,547,283,547,295,477,507,477
254.0,0,0,16,29,26,28,23,489,659,160,642,161,544,490,561
255.0,0,0,26,25,26,33,30,544,619,195,640,217,496,566,475
256.0,0,0,19,2,33,26,33,393,576,223,526,226,455,396,505
257.0,0,12,9,11,30,26,30,535,417,194,416,197,311,538,312
258.0,0,0,26,27,27,0,32,462,540,201,543,197,463,458,460
259.0,0,0,25,26,12,27,33,421,646,203,646,211,574,429,574
260.0,0,0,5,29,25,29,23,596,612,130,624,129,479,595,467
261.0,0,0,22,20,25,24,25,477,516,286,528,287,457,478,445
262.0,0,0,16,0,30,31,32,492,559,227,563,228,485,493,481
263.0,0,0,1,31,17,25,31,499,664,300,662,288,598,487,600
264.0,0,0,1,29,2,26,29,495,603,186,561,162,451,471,493
265.0,0,0,11,32,31,25,31,466,641,234,616,222,533,454,558
266.0,0,0,10,32,26,24,29,383,537,228,520,228,466,383,483
267.0,0,0,26,4,29,25,33,569,534,438,542,433,499,564,491
268.0,0,0,18,33,27,31,25,522,567,227,601,210,520,505,486
269.0,0,0,5,23,30,31,26,548,368,361,373,363,308,550,303
270.0,0,0,21,9,31,28,31,394,569,91,577,87,492,390,484
271.0,0,0,20,33,24,24,19,543,600,271,582,267,495,539,513
272.0,0,4,20,24,10,24,31,516,547,233,505,219,414,502,456
273.0,0,0,15,26,25,24,33,491,582,210,512,201,412,482,482
274.0,0,0,27,0,33,32,29,407,512,180,475,175,399,402,436
275.0,0,0,21,29,24,32,22,375,485,151,471,133,389,357,403
276.0,0,0,12,29,7,25,30,382,637,199,625,193,558,376,570
277.0,0,0,22,11,26,24,33,392,520,156,522,146,450,382,448
278.0,0,0,16,21,30,24,25,468,586,288,583,290,523,470,526
279.0,0,0,27,26,29,1,25,466,577,174,584,171,483,463,476
280.0,0,0,16,29,15,26,24,631,465,312,448,296,350,615,367
281.0,0,0,26,27,29,16,29,440,383,190,368,183,281,433,296
282.0,0,0,28,12,32,26,26,647,636,277,638,270,519,640,517
283.0,0,0,21,28,32,32,9,569,529,373,549,373,463,569,443
284.0,0,0,29,32,18,29,28,475,486,212,483,214,391,477,394
285.0,0,0,19,32,19,33,30,492,596,253,590,251,511,490,517
286.0,0,0,8,32,7,27,27,458,559,219,599,238,519,477,479
287.0,0,0,9,12,33,32,27,591,394,396,406,383,338,578,326
288.0,0,0,8,25,0,32,24,516,597,224,619,219,531,511,509
289.0,0,0,3,30,25,33,30,552,657,358,659,357,582,551,580
290.0,0,12,12,29,28,24,30,499,452,339,449,341,389,501,392
291.0,0,0,30,28,26,8,26,572,506,311,431,314,337,575,412
292.0,0,0,11,30,25,26,23,488,573,229,492,218,389,477,470
293.0,0,0,2,2,28,24,27,577,583,211,566,190,464,556,481
294.0,0,0,0,25,18,27,27,400,636,213,623,210,559,397,572
295.0,0,0,22,16,24,25,31,455,563,254,562,238,493,439,494
296.0,0,0,6,33,29,28,33,499,576,194,576,204,464,509,464
297.0,0,0,23,32,26,27,18,495,504,347,498,350,444,498,450
298.0,0,9,9,2,32,25,24,448,575,266,552,249,477,431,500
299.0,0,0,0,22,33,26,30,466,614,170,591,149,492,445,515
300.0,0,0,21,22,24,29,32,481,667,195,595,173,500,459,572
301.0,0,0,17,29,24,26,10,484,580,294,583,295,507,485,504
302.0,0,0,25,19,25,24,27,485,496,260,480,274,392,499,408
303.0,0,0,25,25,26,9,33,605,397,409,425,411,351,607,323
304.0,0,0,5,16,27,26,24,583,572,357,520,361,440,587,492
305.0,0,3,0,7,25,27,26,572,408,291,382,281,291,562,317
306.0,0,0,2,29,29,30,13,518,561,256,555,234,470,496,476
307.0,0,0,11,32,11,32,26,405,562,169,570,166,496,402,488
308.0,0,0,33,2,26,27,28,448,468,240,445,236,366,444,389
309.0,0,0,33,29,6,26,26,397,508,195,508,193,444,395,444
310.0,0,0,7,13,27,28,29,363,514,126,509,114,428,351,433
311.0,0,0,32,16,24,32,31,465,608,242,603,229,528,452,533
312.0,0,0,21,29,30,30,19,456,573,214,571,218,488,460,490
313.0,0,0,18,30,33,33,17,382,597,175,501,186,423,393,519
314.0,0,0,31,31,14,32,30,536,527,294,517,291,437,533,447
315.0,0,0,30,29,9,27,30,612,445,338,437,343,355,617,363
316.0,0,0,31,27,25,21,31,432,467,219,476,218,403,431,394
317.0,0,0,1,31,32,25,10,480,516,319,529,314,477,475,464
318.0,0,0,17,25,27,29,7,442,604,176,623,169,529,435,510
319.0,0,0,3,29,2,30,26,489,666,210,600,193,509,472,575
320.0,0,0,17,26,32,27,24,440,654,203,680,180,601,417,575
321.0,0,0,27,27,29,20,25,385,563,195,559,198,496,388,500
322.0,0,0,8,17,30,27,30,511,609,358,617,361,554,514,546
323.0,0,0,20,32,4,33,33,487,551,298,560,313,477,502,468
324.0,0,0,20,32,31,26,4,456,576,201,587,203,507,458,496
325.0,0,0,23,29,32,24,31,460,495,256,494,249,424,453,425
326.0,0,0,3,33,24,28,20,462,571,300,575,299,520,461,516
327.0,0,0,0,25,29,33,31,510,544,288,517,286,438,508,465
328.0,0,0,27,26,13,32,30,460,534,252,526,254,455,462,463
329.0,0,0,33,24,30,32,24,577,577,154,577,140,461,563,461
330.0,0,0,9,32,32,29,19,499,581,246,585,246,501,499,497
331.0,0,0,4,26,25,29,11,477,589,207,557,192,471,462,503
332.0,0,0,3,18,24,24,28,353,571,159,525,153,450,347,496
333.0,0,0,23,12,27,28,31,382,537,204,510,201,448,379,475
334.0,0,0,5,25,25,30,16,415,592,180,592,194,519,429,519
335.0,0,0,31,8,30,29,29,459,571,236,551,219,473,442,493
336.0,0,0,19,27,31,28,30,461,575,215,583,215,488,461,480
337.0,0,0,2,32,33,25,1,412,638,236,612,223,541,399,567
338.0,0,0,30,32,27,24,32,394,567,295,563,296,529,395,533
339.0,0,0,10,30,21,24,24,453,560,146,561,130,460,437,459
340.0,0,0,11,8,28,31,24,423,566,254,547,250,482,419,501
341.0,0,0,16,22,29,25,27,454,574,288,581,284,522,450,515
342.0,0,0,27,7,24,24,33,560,533,310,553,343,476,593,456
343.0,0,0,31,27,26,10,25,401,614,127,600,116,524,390,538
344.0,1,5,29,26,25,32,26,414,598,232,588,230,530,412,540
345.0,0,0,32,28,12,24,24,642,438,290,460,300,331,652,309
346.0,0,0,12,24,17,24,32,480,573,259,572,262,483,483,484
347.0,0,0,32,22,29,27,24,428,414,231,420,230,351,427,345
348.0,0,0,33,31,13,25,24,631,556,289,537,294,442,636,461
349.0,0,0,20,31,32,33,5,447,598,155,578,131,484,423,504
350.0,0,0,9,11,29,29,29,576,545,390,536,394,474,580,483
351.0,0,0,26,27,20,32,30,541,559,218,567,221,454,544,446
352.0,0,1,19,27,27,32,33,417,516,161,494,147,409,403,431
353.0,0,0,27,31,26,24,30,528,622,199,621,205,522,534,523
354.0,0,0,22,1,26,24,29,352,677,145,663,137,592,344,606
355.0,19,19,8,18,28,27,32,471,586,159,555,137,456,449,487
356.0,0,0,25,31,28,28,27,479,607,201,594,169,505,447,518
357.0,0,0,9,30,31,30,28,440,465,263,464,263,408,440,409
358.0,0,0,2,19,26,33,26,505,568,210,586,208,480,503,462
359.0,0,0,32,32,27,10,29,520,662,274,652,270,575,516,585
360.0,0,0,12,30,17,33,32,328,518,122,515,111,447,317,450
361.0,0,0,28,23,24,24,32,482,520,250,536,249,462,481,446
362.0,0,0,9,24,25,24,15,518,440,323,451,321,377,516,366
363.0,0,0,27,25,27,17,28,549,621,286,573,270,485,533,533
364.0,0,0,20,32,25,25,19,472,498,242,501,243,420,473,417
365.0,0,0,18,17,26,30,31,381,626,275,626,279,588,385,588
366.0,0,0,3,25,30,26,7,431,572,242,585,250,510,439,497
367.0,0,0,13,32,32,28,16,455,481,267,460,265,393,453,414
368.0,0,0,6,24,3,26,32,497,549,184,546,188,451,501,454
369.0,0,0,2,16,30,33,33,498,512,299,496,283,430,482,446
370.0,0,0,7,29,23,31,32,528,671,242,683,247,585,533,573
371.0,0,0,3,26,6,32,29,526,589,270,558,256,476,512,507
372.0,0,6,2,26,24,24,33,486,595,298,614,299,546,487,527
373.0,0,0,11,33,20,30,24,464,582,207,571,176,492,433,503
374.0,0,0,30,12,32,27,32,435,684,165,627,159,536,429,593
375.0,0,0,2,24,32,32,8,470,585,256,592,255,517,469,510
376.0,0,0,32,25,30,26,24,504,454,374,440,377,395,507,409
377.0,0,0,15,29,31,33,11,428,590,178,602,197,525,447,513
378.0,0,0,16,33,24,28,22,570,560,211,555,202,452,561,457
379.0,0,0,20,26,10,29,27,526,635,192,635,185,538,519,538
380.0,0,0,10,30,33,31,31,404,631,137,641,138,545,405,535
381.0,0,0,9,30,27,33,4,452,422,204,428,202,343,450,337
382.0,0,0,8,0,27,30,29,545,522,390,522,394,466,549,466
383.0,0,0,11,30,20,32,32,492,595,193,592,196,490,495,493
384.0,0,0,7,29,32,30,23,275,584,82,590,92,509,285,503
385.0,0,0,26,3,32,26,27,555,618,290,620,289,529,554,527
386.0,0,6,23,19,25,30,32,524,647,225,622,201,538,500,563
387.0,0,0,2,27,29,31,18,589,568,222,577,190,470,557,461
388.0,0,0,25,32,23,33,27,469,469,287,445,279,381,461,405
389.0,0,1,2,17,33,26,31,339,654,66,601,51,500,324,553
390.0,0,0,7,31,22,28,24,610,555,273,564,275,449,612,440
391.0,0,0,32,28,25,24,24,541,556,293,551,289,474,537,479
392.0,0,0,7,21,32,26,26,320,572,134,516,131,440,317,496
393.0,0,0,7,33,8,32,26,582,582,181,589,181,462,582,455
394.0,0,0,5,32,29,25,9,519,577,115,579,111,471,515,469
395.0,0,0,23,25,26,31,26,450,570,178,585,179,478,451,463
396.0,0,12,4,30,30,30,30,437,583,176,589,176,497,437,491
397.0,0,0,0,31,30,33,29,472,610,265,633,275,545,482,522
398.0,0,0,7,11,24,30,30,473,626,212,629,244,547,505,544
399.0,0,0,5,29,31,32,33,532,581,174,558,178,445,536,468
400.0,0,0,3,31,29,26,5,427,382,173,369,169,290,423,303
401.0,0,0,33,32,33,16,30,364,659,166,632,138,548,336,575
402.0,0,0,13,5,25,27,32,550,552,318,553,308,471,540,470
403.0,0,12,21,27,29,27,29,573,450,245,452,246,338,574,336
404.0,0,0,14,24,30,29,29,480,603,255,595,243,526,468,534
405.0,16,16,23,19,25,31,31,569,617,270,615,271,519,570,521
406.0,0,0,5,33,29,30,5,418,663,219,616,211,540,410,587
